customer_code,demand
SF0001,6
SF0002,111
SF0003,37
SF0004,20
SF0005,9
SF0006,62
SF0007,41
SF0008,62
SF0009,74
SF0010,52
SF0011,29
SF0012,27
SF0013,59
SF0014,31
SF0015,40
SF0016,4
SF0017,67
SF0018,17
SF0019,50
SF0020,28
SF0021,40
SF0022,24
SF0023,50
SF0024,56
SF0025,3
SF0026,5
SF0027,47
SF0028,12
SF0029,8
SF0030,56
SF0031,33
SF0032,43
SF0033,43
SF0034,30
SF0035,43
SF0036,51
SF0037,53
SF0038,27
SF0039,24
SF0040,61
SF0041,62
SF0042,35
SF0043,148
SF0044,50
SF0045,41
SF0046,21
SF0047,43
SF0048,39
SF0049,12
SF0050,3
SF0051,13
SF0052,21
SF0053,57
SF0054,32
SF0055,51
SF0056,209
SF0057,26
SF0058,95
SF0059,21
SF0060,36
SF0061,48
SF0062,89
SF0063,66
SF0064,79
SF0065,48
SF0066,102
SF0067,65
SF0068,65
SF0069,60
SF0070,72
SF0071,81
SF0072,67
SF0073,45
SF0074,74
SF0075,50
SF0076,113
SF0077,31
SF0078,36
SF0079,53
SF0080,98
SF0081,54
SF0082,77
SF0083,82
SF0084,46
SF0085,22
SF0086,46
SF0087,95
SF0088,64
SF0089,82
SF0090,54
SF0091,83
SF0092,8
SF0093,2
SF0094,68
SF0095,49
SF0096,51
SF0097,39
SF0098,23
SF0099,48
SF0100,86
SF0101,75
SF0102,27
SF0103,100
SF0104,2
SF0105,61
SF0106,54
SF0107,2
SF0108,80
SF0109,91
SF0110,3
SF0111,125
SF0112,2
SF0113,108
SF0114,54
SF0115,41
SF0116,304
SF0117,247
SF0118,144
SF0119,80
SF0120,3
SF0121,12
SF0122,108
SF0123,33
SF0124,61
SF0125,33
SF0126,18
SF0127,27
SF0128,21
SF0129,39
SF0130,54
SF0131,86
SF0132,20
SF0133,74
SF0134,21
SF0135,42
SF0136,70
SF0137,89
SF0138,52
SF0139,23
SF0140,8
SF0141,109
SF0142,18
SF0143,34
SF0144,56
SF0145,26
SF0146,45
SF0147,2
SF0148,78
SF0149,28
SF0150,2
SF0151,128
SF0152,80
SF0153,104
SF0154,2
SF0155,3
SF0156,113
SF0157,65
SF0158,49
SF0159,102
SF0160,2
SF0161,58
SF0162,5
SF0163,66
SF0164,15
SF0165,2
SF0166,163
SF0167,63
SF0168,2
SF0169,2
SF0170,71
SF0171,83
SF0172,42
SF0173,2
SF0174,27
SF0175,2
SF0176,7
SF0177,66
SF0178,119
SF0179,109
SF0180,86
SF0181,52
SF0182,37
SF0183,64
SF0184,98
SF0185,69
SF0186,39
SF0187,95
SF0188,75
SF0189,76
SF0190,8
SF0191,81
SF0192,75
SF0193,87
SF0194,31
SF0195,99
SF0196,68
SF0197,131
SF0198,111
SF0199,75
SF0200,43
SF0201,2
SF0202,32
SF0203,80
SF0204,6
SF0205,19
SF0206,73
SF0207,52
SF0208,2
SF0209,86
SF0210,44
SF0211,4
SF0212,70
SF0213,63
SF0214,16
SF0215,38
SF0216,53
SF0217,65
SF0218,49
SF0219,88
SF0220,117
SF0221,83
SF0222,74
SF0223,52
SF0224,22
SF0225,66
SF0226,104
SF0227,65
SF0228,35
SF0229,2
SF0230,6
SF0231,38
SF0232,66
SF0233,113
SF0234,68
SF0235,111
SF0236,78
SF0237,70
SF0238,240
SF0239,104
SF0240,81
SF0241,69
SF0242,23
SF0243,37
SF0244,41
SF0245,67
SF0246,59
SF0247,60
SF0248,85
SF0249,60
SF0250,48
SF0251,53
SF0252,31
SF0253,39
SF0254,25
SF0255,75
SF0256,76
SF0257,61
SF0258,57
SF0259,76
SF0260,39
SF0261,61
SF0262,46
SF0263,26
SF0264,31
SF0265,68
SF0266,52
SF0267,50
SF0268,73
SF0269,95
SF0270,42
SF0271,47
SF0272,63
SF0273,73
SF0274,67
SF0275,37
SF0276,37
SF0277,76
SF0278,160
SF0279,28
SF0280,93
SF0281,62
SF0282,32
SF0283,2
SF0284,86
SF0285,34
SF0286,8
SF0287,55
SF0288,60
SF0289,108
SF0290,50
SF0291,70
SF0292,51
SF0293,48
SF0294,15
SF0295,146
SF0296,66
SF0297,54
SF0298,32
SF0299,99
SF0300,63
SF0301,47
SF0302,29
SF0303,18
SF0304,13
SF0305,3
SF0306,16
SF0307,50
SF0308,13
SF0309,21
SF0310,39
SF0311,2
SF0312,152
SF0313,39
SF0314,66
SF0315,96
SF0316,42
SF0317,71
SF0318,8
SF0319,6
SF0320,12
SF0321,73
SF0322,68
SF0323,48
SF0324,33
SF0325,78
SF0326,27
SF0327,25
SF0328,56
SF0329,258
SF0330,47
SF0331,65
SF0332,36
SF0333,8
SF0334,30
SF0335,40
SF0336,31
SF0337,51
SF0338,54
SF0339,52
SF0340,39
SF0341,45
SF0342,83
SF0343,26
SF0344,38
SF0345,12
SF0346,64
SF0347,30
SF0348,91
SF0349,61
SF0350,100
SF0351,69
SF0352,63
SF0353,8
SF0354,118
SF0355,58
SF0356,61
SF0357,82
SF0358,54
SF0359,74
SF0360,31
SF0361,13
SF0362,18
SF0363,36
SF0364,58
SF0365,25
SF0366,52
SF0367,52
SF0368,45
SF0369,62
SF0370,21
SF0371,56
SF0372,64
SF0373,31
SF0374,57
SF0375,35
SF0376,19
SF0377,44
SF0378,16
SF0379,10
SF0380,8
SF0381,35
SF0382,56
SF0383,111
SF0384,63
SF0385,21
SF0386,45
SF0387,15
SF0388,95
SF0389,25
SF0390,58
SF0391,41
