customer_code,demand
SF0001,26
SF0002,131
SF0003,57
SF0004,40
SF0005,29
SF0006,82
SF0007,61
SF0008,82
SF0009,94
SF0010,72
SF0011,49
SF0012,47
SF0013,79
SF0014,51
SF0015,60
SF0016,24
SF0017,87
SF0018,37
SF0019,70
SF0020,48
SF0021,60
SF0022,44
SF0023,70
SF0024,76
SF0025,23
SF0026,25
SF0027,67
SF0028,32
SF0029,28
SF0030,76
SF0031,53
SF0032,63
SF0033,63
SF0034,50
SF0035,63
SF0036,71
SF0037,73
SF0038,47
SF0039,44
SF0040,81
SF0041,82
SF0042,55
SF0043,168
SF0044,70
SF0045,61
SF0046,41
SF0047,63
SF0048,59
SF0049,32
SF0050,23
SF0051,33
SF0052,41
SF0053,77
SF0054,52
SF0055,71
SF0056,229
SF0057,46
SF0058,115
SF0059,41
SF0060,56
SF0061,68
SF0062,109
SF0063,86
SF0064,99
SF0065,68
SF0066,122
SF0067,85
SF0068,85
SF0069,80
SF0070,92
SF0071,101
SF0072,87
SF0073,65
SF0074,94
SF0075,70
SF0076,133
SF0077,51
SF0078,56
SF0079,73
SF0080,118
SF0081,74
SF0082,97
SF0083,102
SF0084,66
SF0085,42
SF0086,66
SF0087,115
SF0088,84
SF0089,102
SF0090,74
SF0091,103
SF0092,28
SF0093,22
SF0094,88
SF0095,69
SF0096,71
SF0097,59
SF0098,43
SF0099,68
SF0100,106
SF0101,95
SF0102,47
SF0103,120
SF0104,22
SF0105,81
SF0106,74
SF0107,22
SF0108,100
SF0109,111
SF0110,23
SF0111,145
SF0112,22
SF0113,128
SF0114,74
SF0115,61
SF0116,324
SF0117,267
SF0118,164
SF0119,100
SF0120,23
SF0121,32
SF0122,128
SF0123,53
SF0124,81
SF0125,53
SF0126,38
SF0127,47
SF0128,41
SF0129,59
SF0130,74
SF0131,106
SF0132,40
SF0133,94
SF0134,41
SF0135,62
SF0136,90
SF0137,109
SF0138,72
SF0139,43
SF0140,28
SF0141,129
SF0142,38
SF0143,54
SF0144,76
SF0145,46
SF0146,65
SF0147,22
SF0148,98
SF0149,48
SF0150,22
SF0151,148
SF0152,100
SF0153,124
SF0154,22
SF0155,23
SF0156,133
SF0157,85
SF0158,69
SF0159,122
SF0160,22
SF0161,78
SF0162,25
SF0163,86
SF0164,35
SF0165,22
SF0166,183
SF0167,83
SF0168,22
SF0169,22
SF0170,91
SF0171,103
SF0172,62
SF0173,22
SF0174,47
SF0175,22
SF0176,27
SF0177,86
SF0178,139
SF0179,129
SF0180,106
SF0181,72
SF0182,57
SF0183,84
SF0184,118
SF0185,89
SF0186,59
SF0187,115
SF0188,95
SF0189,96
SF0190,28
SF0191,101
SF0192,95
SF0193,107
SF0194,51
SF0195,119
SF0196,88
SF0197,151
SF0198,131
SF0199,95
SF0200,63
SF0201,22
SF0202,52
SF0203,100
SF0204,26
SF0205,39
SF0206,93
SF0207,72
SF0208,22
SF0209,106
SF0210,64
SF0211,24
SF0212,90
SF0213,83
SF0214,36
SF0215,58
SF0216,73
SF0217,85
SF0218,69
SF0219,108
SF0220,137
SF0221,103
SF0222,94
SF0223,72
SF0224,42
SF0225,86
SF0226,124
SF0227,85
SF0228,55
SF0229,22
SF0230,26
SF0231,58
SF0232,86
SF0233,133
SF0234,88
SF0235,131
SF0236,98
SF0237,90
SF0238,260
SF0239,124
SF0240,101
SF0241,89
SF0242,43
SF0243,57
SF0244,61
SF0245,87
SF0246,79
SF0247,80
SF0248,105
SF0249,80
SF0250,68
SF0251,73
SF0252,51
SF0253,59
SF0254,45
SF0255,95
SF0256,96
SF0257,81
SF0258,77
SF0259,96
SF0260,59
SF0261,81
SF0262,66
SF0263,46
SF0264,51
SF0265,88
SF0266,72
SF0267,70
SF0268,93
SF0269,115
SF0270,62
SF0271,67
SF0272,83
SF0273,93
SF0274,87
SF0275,57
SF0276,57
SF0277,96
SF0278,180
SF0279,48
SF0280,113
SF0281,82
SF0282,52
SF0283,22
SF0284,106
SF0285,54
SF0286,28
SF0287,75
SF0288,80
SF0289,128
SF0290,70
SF0291,90
SF0292,71
SF0293,68
SF0294,35
SF0295,166
SF0296,86
SF0297,74
SF0298,52
SF0299,119
SF0300,83
SF0301,67
SF0302,49
SF0303,38
SF0304,33
SF0305,23
SF0306,36
SF0307,70
SF0308,33
SF0309,41
SF0310,59
SF0311,22
SF0312,172
SF0313,59
SF0314,86
SF0315,116
SF0316,62
SF0317,91
SF0318,28
SF0319,26
SF0320,32
SF0321,93
SF0322,88
SF0323,68
SF0324,53
SF0325,98
SF0326,47
SF0327,45
SF0328,76
SF0329,278
SF0330,67
SF0331,85
SF0332,56
SF0333,28
SF0334,50
SF0335,60
SF0336,51
SF0337,71
SF0338,74
SF0339,72
SF0340,59
SF0341,65
SF0342,103
SF0343,46
SF0344,58
SF0345,32
SF0346,84
SF0347,50
SF0348,111
SF0349,81
SF0350,120
SF0351,89
SF0352,83
SF0353,28
SF0354,138
SF0355,78
SF0356,81
SF0357,102
SF0358,74
SF0359,94
SF0360,51
SF0361,33
SF0362,38
SF0363,56
SF0364,78
SF0365,45
SF0366,72
SF0367,72
SF0368,65
SF0369,82
SF0370,41
SF0371,76
SF0372,84
SF0373,51
SF0374,77
SF0375,55
SF0376,39
SF0377,64
SF0378,36
SF0379,30
SF0380,28
SF0381,55
SF0382,76
SF0383,131
SF0384,83
SF0385,41
SF0386,65
SF0387,35
SF0388,115
SF0389,45
SF0390,78
SF0391,61
SF0392,54
SF0393,106
SF0394,82
SF0395,71
SF0396,56
SF0397,63
SF0398,51
SF0399,37
SF0400,46
SF0401,46
SF0402,55
SF0403,40
SF0404,40
SF0405,37
SF0406,49
SF0407,33
SF0408,89
SF0409,63
SF0410,65
SF0411,58
SF0412,58
SF0413,74
SF0414,74
SF0415,54
SF0416,68
SF0417,74
SF0418,98
SF0419,50
SF0420,61
SF0421,36
SF0422,41
SF0423,32
SF0424,71
SF0425,89
SF0426,44
SF0427,79
SF0428,66
SF0429,79
SF0430,42
SF0431,36
SF0432,42
SF0433,88
SF0434,110
SF0435,90
SF0436,47
SF0437,118
SF0438,59
SF0439,74
SF0440,120
SF0441,62
SF0442,166
SF0443,50
SF0444,51
SF0445,60
SF0446,65
SF0447,54
SF0448,47
SF0449,115
SF0450,86
SF0451,126
SF0452,38
SF0453,149
SF0454,41
SF0455,51
SF0456,107
SF0457,24
SF0458,106
SF0459,72
SF0460,56
SF0461,59
SF0462,176
SF0463,50
SF0464,131
SF0465,76
SF0466,65
SF0467,84
SF0468,44
SF0469,105
SF0470,48
SF0471,65
SF0472,51
SF0473,165
SF0474,29
SF0475,135
SF0476,70
SF0477,160
SF0478,101
SF0479,94
SF0480,104
SF0481,256
SF0482,107
SF0483,113
SF0484,135
SF0485,53
SF0486,53
SF0487,33
SF0488,119
SF0489,163
SF0490,49
SF0491,74
SF0492,44
SF0493,73
SF0494,64
SF0495,76
SF0496,134
SF0497,30
SF0498,60
SF0499,85
SF0500,67
SF0501,104
SF0502,70
SF0503,92
SF0504,77
SF0505,55
SF0506,82
SF0507,83
SF0508,71
SF0509,37
SF0510,92
SF0511,75
SF0512,110
SF0513,64
SF0514,59
SF0515,59
SF0516,81
SF0517,122
SF0518,63
SF0519,95
SF0520,68
SF0521,95
SF0522,60
SF0523,104
SF0524,50
SF0525,39
SF0526,53
SF0527,65
SF0528,34
SF0529,28
SF0530,45
SF0531,76
SF0532,145
SF0533,60
SF0534,51
SF0535,102
SF0536,53
SF0537,37
SF0538,106
SF0539,40
SF0540,55
SF0541,213
SF0542,171
SF0543,67
SF0544,44
SF0545,23
SF0546,46
SF0547,52
SF0548,24
SF0549,119
SF0550,46
SF0551,30
SF0552,36
SF0553,38
SF0554,37
SF0555,28
SF0556,29
SF0557,28
SF0558,35
SF0559,44
SF0560,39
SF0561,53
SF0562,27
SF0563,27
SF0564,28
SF0565,26
SF0566,86
SF0567,28
SF0568,33
SF0569,23
SF0570,25
SF0571,28
SF0572,59
SF0573,70
SF0574,27
SF0575,37
SF0576,39
SF0577,34
SF0578,45
SF0579,32
SF0580,38
SF0581,86
SF0582,46
SF0583,33
SF0584,28
SF0585,33
SF0586,23
SF0587,46
SF0588,67
SF0589,112
SF0590,119
SF0591,35
SF0592,197
SF0593,62
SF0594,68
SF0595,113
SF0596,50
SF0597,53
SF0598,62
SF0599,38
SF0600,147
SF0601,174
SF0602,70
SF0603,70
SF0604,161
SF0605,99
SF0606,128
SF0607,29
SF0608,65
SF0609,65
SF0610,61
SF0611,67
SF0612,94
SF0613,30
SF0614,42
SF0615,77
SF0616,89
SF0617,40
SF0618,63
SF0619,55
SF0620,46
SF0621,82
SF0622,65
SF0623,58
SF0624,66
SF0625,43
SF0626,29
SF0627,57
SF0628,64
SF0629,35
SF0630,38
SF0631,96
SF0632,69
SF0633,33
SF0634,106
SF0635,81
SF0636,139
SF0637,83
SF0638,28
SF0639,106
SF0640,77
SF0641,22
SF0642,73
SF0643,106
SF0644,62
SF0645,75
SF0646,26
SF0647,44
SF0648,49
SF0649,45
SF0650,38
SF0651,25
SF0652,39
SF0653,90
SF0654,72
SF0655,50
SF0656,25
SF0657,60
SF0658,66
SF0659,92
SF0660,72
SF0661,49
SF0662,95
SF0663,89
SF0664,55
SF0665,55
SF0666,44
SF0667,51
SF0668,59
SF0669,58
SF0670,56
SF0671,37
SF0672,36
SF0673,39
SF0674,26
SF0675,95
SF0676,70
SF0677,84
SF0678,42
SF0679,124
SF0680,81
SF0681,180
SF0682,108
SF0683,98
SF0684,81
SF0685,169
SF0686,102
SF0687,107
SF0688,37
SF0689,91
SF0690,24
SF0691,34
SF0692,129
SF0693,81
SF0694,50
SF0695,180
SF0696,109
SF0697,94
SF0698,163
SF0699,126
SF0700,23
SF0701,74
SF0702,53
SF0703,71
SF0704,69
SF0705,161
SF0706,57
SF0707,115
SF0708,85
SF0709,154
SF0710,119
SF0711,100
SF0712,109
SF0713,81
SF0714,123
SF0715,38
SF0716,91
SF0717,74
SF0718,81
SF0719,85
SF0720,34
SF0721,78
SF0722,66
SF0723,113
SF0724,37
SF0725,29
SF0726,60
SF0727,38
SF0728,38
SF0729,47
SF0730,40
SF0731,93
SF0732,54
SF0733,78
SF0734,51
SF0735,109
SF0736,75
SF0737,24
SF0738,145
SF0739,97
SF0740,158
SF0741,34
SF0742,87
SF0743,85
SF0744,53
SF0745,125
SF0746,116
SF0747,73
SF0748,151
SF0749,107
SF0750,129
SF0751,53
SF0752,101
SF0753,70
SF0754,38
SF0755,46
SF0756,31
SF0757,53
SF0758,44
SF0759,59
SF0760,28
SF0761,23
SF0762,63
SF0763,52
SF0764,44
SF0765,60
SF0766,81
SF0767,54
SF0768,110
SF0769,49
SF0770,67
SF0771,36
SF0772,35
SF0773,88
SF0774,71
SF0775,73
SF0776,46
SF0777,40
SF0778,59
SF0779,23
SF0780,54
SF0781,25
SF0782,26
SF0783,151
SF0784,83
SF0785,80
SF0786,95
SF0787,121
SF0788,89
SF0789,37
SF0790,55
SF0791,123
SF0792,62
SF0793,98
SF0794,76
SF0795,24
SF0796,33
SF0797,122
SF0798,55
SF0799,61
SF0800,37
SF0801,85
SF0802,71
SF0803,50
SF0804,61
SF0805,81
SF0806,89
SF0807,72
SF0808,76
SF0809,64
SF0810,68
SF0811,47
SF0812,60
SF0813,89
SF0814,112
SF0815,59
SF0816,92
SF0817,63
SF0818,33
SF0819,51
SF0820,107
SF0821,93
SF0822,38
SF0823,74
SF0824,34
SF0825,88
SF0826,61
SF0827,98
SF0828,42
SF0829,37
SF0830,63
SF0831,69
SF0832,86
SF0833,28
SF0834,50
SF0835,39
SF0836,52
SF0837,32
SF0838,95
SF0839,63
SF0840,112
SF0841,91
SF0842,32
SF0843,80
SF0844,166
SF0845,124
SF0846,56
SF0847,49
SF0848,67
SF0849,88
SF0850,85
SF0851,23
SF0852,149
SF0853,56
SF0854,122
SF0855,51
SF0856,60
SF0857,61
SF0858,83
SF0859,62
SF0860,50
SF0861,122
SF0862,59
SF0863,101
SF0864,70
SF0865,55
SF0866,81
SF0867,59
SF0868,108
SF0869,71
SF0870,55
SF0871,24
SF0872,45
SF0873,157
SF0874,66
SF0875,91
SF0876,107
SF0877,117
SF0878,95
SF0879,64
SF0880,45
SF0881,24
SF0882,145
SF0883,26
SF0884,24
SF0885,114
SF0886,58
SF0887,72
SF0888,47
SF0889,25
SF0890,102
SF0891,78
SF0892,61
SF0893,81
SF0894,70
SF0895,72
SF0896,91
SF0897,85
SF0898,139
SF0899,78
SF0900,98
SF0901,24
SF0902,101
SF0903,89
SF0904,65
SF0905,56
SF0906,25
SF0907,36
SF0908,101
SF0909,34
SF0910,87
SF0911,79
SF0912,78
SF0913,76
SF0914,40
SF0915,107
SF0916,114
SF0917,36
SF0918,71
SF0919,70
SF0920,129
SF0921,71
SF0922,71
SF0923,50
SF0924,149
SF0925,98
SF0926,56
SF0927,95
SF0928,58
SF0929,150
SF0930,96
SF0931,95
SF0932,46
SF0933,71
SF0934,72
SF0935,49
SF0936,32
SF0937,62
SF0938,45
SF0939,113
SF0940,57
SF0941,70
SF0942,44
SF0943,139
SF0944,53
SF0945,111
SF0946,124
SF0947,45
SF0948,90
SF0949,155
SF0950,49
SF0951,31
SF0952,60
SF0953,73
SF0954,83
SF0955,57
SF0956,297
SF0957,31
SF0958,27
SF0959,85
SF0960,117
SF0961,81
SF0962,75
SF0963,63
SF0964,60
SF0965,102
SF0966,49
SF0967,51
SF0968,128
SF0969,81
SF0970,52
SF0971,49
