customer_code,demand
SF0001,16
SF0002,121
SF0003,47
SF0004,30
SF0005,19
SF0006,72
SF0007,51
SF0008,72
SF0009,84
SF0010,62
SF0011,39
SF0012,37
SF0013,69
SF0014,41
SF0015,50
SF0016,14
SF0017,77
SF0018,27
SF0019,60
SF0020,38
SF0021,50
SF0022,34
SF0023,60
SF0024,66
SF0025,13
SF0026,15
SF0027,57
SF0028,22
SF0029,18
SF0030,66
SF0031,43
SF0032,53
SF0033,53
SF0034,40
SF0035,53
SF0036,61
SF0037,63
SF0038,37
SF0039,34
SF0040,71
SF0041,72
SF0042,45
SF0043,158
SF0044,60
SF0045,51
SF0046,31
SF0047,53
SF0048,49
SF0049,22
SF0050,13
SF0051,23
SF0052,31
SF0053,67
SF0054,42
SF0055,61
SF0056,219
SF0057,36
SF0058,105
SF0059,31
SF0060,46
SF0061,58
SF0062,99
SF0063,76
SF0064,89
SF0065,58
SF0066,112
SF0067,75
SF0068,75
SF0069,70
SF0070,82
SF0071,91
SF0072,77
SF0073,55
SF0074,84
SF0075,60
SF0076,123
SF0077,41
SF0078,46
SF0079,63
SF0080,108
SF0081,64
SF0082,87
SF0083,92
SF0084,56
SF0085,32
SF0086,56
SF0087,105
SF0088,74
SF0089,92
SF0090,64
SF0091,93
SF0092,18
SF0093,12
SF0094,78
SF0095,59
SF0096,61
SF0097,49
SF0098,33
SF0099,58
SF0100,96
SF0101,85
SF0102,37
SF0103,110
SF0104,12
SF0105,71
SF0106,64
SF0107,12
SF0108,90
SF0109,101
SF0110,13
SF0111,135
SF0112,12
SF0113,118
SF0114,64
SF0115,51
SF0116,314
SF0117,257
SF0118,154
SF0119,90
SF0120,13
SF0121,22
SF0122,118
SF0123,43
SF0124,71
SF0125,43
SF0126,28
SF0127,37
SF0128,31
SF0129,49
SF0130,64
SF0131,96
SF0132,30
SF0133,84
SF0134,31
SF0135,52
SF0136,80
SF0137,99
SF0138,62
SF0139,33
SF0140,18
SF0141,119
SF0142,28
SF0143,44
SF0144,66
SF0145,36
SF0146,55
SF0147,12
SF0148,88
SF0149,38
SF0150,12
SF0151,138
SF0152,90
SF0153,114
SF0154,12
SF0155,13
SF0156,123
SF0157,75
SF0158,59
SF0159,112
SF0160,12
SF0161,68
SF0162,15
SF0163,76
SF0164,25
SF0165,12
SF0166,173
SF0167,73
SF0168,12
SF0169,12
SF0170,81
SF0171,93
SF0172,52
SF0173,12
SF0174,37
SF0175,12
SF0176,17
SF0177,76
SF0178,129
SF0179,119
SF0180,96
SF0181,62
SF0182,47
SF0183,74
SF0184,108
SF0185,79
SF0186,49
SF0187,105
SF0188,85
SF0189,86
SF0190,18
SF0191,91
SF0192,85
SF0193,97
SF0194,41
SF0195,109
SF0196,78
SF0197,141
SF0198,121
SF0199,85
SF0200,53
SF0201,12
SF0202,42
SF0203,90
SF0204,16
SF0205,29
SF0206,83
SF0207,62
SF0208,12
SF0209,96
SF0210,54
SF0211,14
SF0212,80
SF0213,73
SF0214,26
SF0215,48
SF0216,63
SF0217,75
SF0218,59
SF0219,98
SF0220,127
SF0221,93
SF0222,84
SF0223,62
SF0224,32
SF0225,76
SF0226,114
SF0227,75
SF0228,45
SF0229,12
SF0230,16
SF0231,48
SF0232,76
SF0233,123
SF0234,78
SF0235,121
SF0236,88
SF0237,80
SF0238,250
SF0239,114
SF0240,91
SF0241,79
SF0242,33
SF0243,47
SF0244,51
SF0245,77
SF0246,69
SF0247,70
SF0248,95
SF0249,70
SF0250,58
SF0251,63
SF0252,41
SF0253,49
SF0254,35
SF0255,85
SF0256,86
SF0257,71
SF0258,67
SF0259,86
SF0260,49
SF0261,71
SF0262,56
SF0263,36
SF0264,41
SF0265,78
SF0266,62
SF0267,60
SF0268,83
SF0269,105
SF0270,52
SF0271,57
SF0272,73
SF0273,83
SF0274,77
SF0275,47
SF0276,47
SF0277,86
SF0278,170
SF0279,38
SF0280,103
SF0281,72
SF0282,42
SF0283,12
SF0284,96
SF0285,44
SF0286,18
SF0287,65
SF0288,70
SF0289,118
SF0290,60
SF0291,80
SF0292,61
SF0293,58
SF0294,25
SF0295,156
SF0296,76
SF0297,64
SF0298,42
SF0299,109
SF0300,73
SF0301,57
SF0302,39
SF0303,28
SF0304,23
SF0305,13
SF0306,26
SF0307,60
SF0308,23
SF0309,31
SF0310,49
SF0311,12
SF0312,162
SF0313,49
SF0314,76
SF0315,106
SF0316,52
SF0317,81
SF0318,18
SF0319,16
SF0320,22
SF0321,83
SF0322,78
SF0323,58
SF0324,43
SF0325,88
SF0326,37
SF0327,35
SF0328,66
SF0329,268
SF0330,57
SF0331,75
SF0332,46
SF0333,18
SF0334,40
SF0335,50
SF0336,41
SF0337,61
SF0338,64
SF0339,62
SF0340,49
SF0341,55
SF0342,93
SF0343,36
SF0344,48
SF0345,22
SF0346,74
SF0347,40
SF0348,101
SF0349,71
SF0350,110
SF0351,79
SF0352,73
SF0353,18
SF0354,128
SF0355,68
SF0356,71
SF0357,92
SF0358,64
SF0359,84
SF0360,41
SF0361,23
SF0362,28
SF0363,46
SF0364,68
SF0365,35
SF0366,62
SF0367,62
SF0368,55
SF0369,72
SF0370,31
SF0371,66
SF0372,74
SF0373,41
SF0374,67
SF0375,45
SF0376,29
SF0377,54
SF0378,26
SF0379,20
SF0380,18
SF0381,45
SF0382,66
SF0383,121
SF0384,73
SF0385,31
SF0386,55
SF0387,25
SF0388,105
SF0389,35
SF0390,68
SF0391,51
SF0392,44
SF0393,96
SF0394,72
SF0395,61
SF0396,46
SF0397,53
SF0398,41
SF0399,27
SF0400,36
SF0401,36
SF0402,45
SF0403,30
SF0404,30
SF0405,27
SF0406,39
SF0407,23
SF0408,79
SF0409,53
SF0410,55
SF0411,48
SF0412,48
SF0413,64
SF0414,64
SF0415,44
SF0416,58
SF0417,64
SF0418,88
SF0419,40
SF0420,51
SF0421,26
SF0422,31
SF0423,22
SF0424,61
SF0425,79
SF0426,34
SF0427,69
SF0428,56
SF0429,69
SF0430,32
SF0431,26
SF0432,32
SF0433,78
SF0434,100
SF0435,80
SF0436,37
SF0437,108
SF0438,49
SF0439,64
SF0440,110
SF0441,52
SF0442,156
SF0443,40
SF0444,41
SF0445,50
SF0446,55
SF0447,44
SF0448,37
SF0449,105
SF0450,76
SF0451,116
SF0452,28
SF0453,139
SF0454,31
SF0455,41
SF0456,97
SF0457,14
SF0458,96
SF0459,62
SF0460,46
SF0461,49
SF0462,166
SF0463,40
SF0464,121
SF0465,66
SF0466,55
SF0467,74
SF0468,34
SF0469,95
SF0470,38
SF0471,55
SF0472,41
SF0473,155
SF0474,19
SF0475,125
SF0476,60
SF0477,150
SF0478,91
SF0479,84
SF0480,94
SF0481,246
SF0482,97
SF0483,103
SF0484,125
SF0485,43
SF0486,43
SF0487,23
SF0488,109
SF0489,153
SF0490,39
SF0491,64
SF0492,34
SF0493,63
SF0494,54
SF0495,66
SF0496,124
SF0497,20
SF0498,50
SF0499,75
SF0500,57
SF0501,94
SF0502,60
SF0503,82
SF0504,67
SF0505,45
SF0506,72
SF0507,73
SF0508,61
SF0509,27
SF0510,82
SF0511,65
SF0512,100
SF0513,54
SF0514,49
SF0515,49
SF0516,71
SF0517,112
SF0518,53
SF0519,85
SF0520,58
SF0521,85
SF0522,50
SF0523,94
SF0524,40
SF0525,29
SF0526,43
SF0527,55
SF0528,24
SF0529,18
SF0530,35
SF0531,66
SF0532,135
SF0533,50
SF0534,41
SF0535,92
SF0536,43
SF0537,27
SF0538,96
SF0539,30
SF0540,45
SF0541,203
SF0542,161
SF0543,57
SF0544,34
SF0545,13
SF0546,36
SF0547,42
SF0548,14
SF0549,109
SF0550,36
SF0551,20
SF0552,26
SF0553,28
SF0554,27
SF0555,18
SF0556,19
SF0557,18
SF0558,25
SF0559,34
SF0560,29
SF0561,43
SF0562,17
SF0563,17
SF0564,18
SF0565,16
SF0566,76
SF0567,18
SF0568,23
SF0569,13
SF0570,15
SF0571,18
SF0572,49
SF0573,60
SF0574,17
SF0575,27
SF0576,29
SF0577,24
SF0578,35
SF0579,22
SF0580,28
SF0581,76
SF0582,36
SF0583,23
SF0584,18
SF0585,23
SF0586,13
SF0587,36
SF0588,57
SF0589,102
SF0590,109
SF0591,25
SF0592,187
SF0593,52
SF0594,58
SF0595,103
SF0596,40
SF0597,43
SF0598,52
SF0599,28
SF0600,137
SF0601,164
SF0602,60
SF0603,60
SF0604,151
SF0605,89
SF0606,118
SF0607,19
SF0608,55
SF0609,55
SF0610,51
SF0611,57
SF0612,84
SF0613,20
SF0614,32
SF0615,67
SF0616,79
SF0617,30
SF0618,53
SF0619,45
SF0620,36
SF0621,72
SF0622,55
SF0623,48
SF0624,56
SF0625,33
SF0626,19
SF0627,47
SF0628,54
SF0629,25
SF0630,28
SF0631,86
SF0632,59
SF0633,23
SF0634,96
SF0635,71
SF0636,129
SF0637,73
SF0638,18
SF0639,96
SF0640,67
SF0641,12
SF0642,63
SF0643,96
SF0644,52
SF0645,65
SF0646,16
SF0647,34
SF0648,39
SF0649,35
SF0650,28
SF0651,15
SF0652,29
SF0653,80
SF0654,62
SF0655,40
SF0656,15
SF0657,50
SF0658,56
SF0659,82
SF0660,62
SF0661,39
SF0662,85
SF0663,79
SF0664,45
SF0665,45
SF0666,34
SF0667,41
SF0668,49
SF0669,48
SF0670,46
SF0671,27
SF0672,26
SF0673,29
SF0674,16
SF0675,85
SF0676,60
SF0677,74
SF0678,32
SF0679,114
SF0680,71
SF0681,170
SF0682,98
SF0683,88
SF0684,71
SF0685,159
SF0686,92
SF0687,97
SF0688,27
SF0689,81
SF0690,14
SF0691,24
SF0692,119
SF0693,71
SF0694,40
SF0695,170
SF0696,99
SF0697,84
SF0698,153
SF0699,116
SF0700,13
SF0701,64
SF0702,43
SF0703,61
SF0704,59
SF0705,151
SF0706,47
SF0707,105
SF0708,75
SF0709,144
SF0710,109
SF0711,90
SF0712,99
SF0713,71
SF0714,113
SF0715,28
SF0716,81
